tweet,created_at,tokens,sentiment,sentiment_prob
kang dedi mulyadi marahmarah preman malak kang dedi mulyadi marahmarah jual ciu kang dedi mulyadi marahmarah anak tawur kang dedi mulyadi marahmarah bank emok nunggu kang dedi mulyadi marahmarah bandar judi judi online offline video sunyi senyap takut mafia,Tue May 13 16:44:31 +0000 2025,"['kang', 'dedi', 'mulyadi', 'marahmarah', 'preman', 'malak', 'kang', 'dedi', 'mulyadi', 'marahmarah', 'jual', 'ciu', 'kang', 'dedi', 'mulyadi', 'marahmarah', 'anak', 'tawur', 'kang', 'dedi', 'mulyadi', 'marahmarah', 'bank', 'emok', 'nunggu', 'kang', 'dedi', 'mulyadi', 'marahmarah', 'bandar', 'judi', 'judi', 'online', 'offline', 'video', 'sunyi', 'senyap', 'takut', 'mafia']",negatif,"[3.4036344004562125e-05, 0.00013717013644054532, 0.9998288154602051]"
anak nakal tangkap kriminal dibentakin ancam serah pd ortu rumah digebukin anak liar kang dedi mulyadi kirim anak nakal barak militer dinyinyirin cela lihat hasil ortu bangga air mata jatuh haru patut role model,Tue May 20 08:05:03 +0000 2025,"['anak', 'nakal', 'tangkap', 'kriminal', 'dibentakin', 'ancam', 'serah', 'pd', 'ortu', 'rumah', 'digebukin', 'anak', 'liar', 'kang', 'dedi', 'mulyadi', 'kirim', 'anak', 'nakal', 'barak', 'militer', 'dinyinyirin', 'cela', 'lihat', 'hasil', 'ortu', 'bangga', 'air', 'mata', 'jatuh', 'haru', 'patut', 'role', 'model']",negatif,"[3.335594738018699e-05, 0.0002462028060108423, 0.9997203946113586]"
bahas kang dedi mulyadi tiktok,Sat May 17 05:35:45 +0000 2025,"['bahas', 'kang', 'dedi', 'mulyadi', 'tiktok']",netral,"[0.00019571038137655705, 0.9996871948242188, 0.00011716451990650967]"
nu bekas protes bijak ijazah dedi mulyadi,Thu May 22 03:01:21 +0000 2025,"['nu', 'bekas', 'protes', 'bijak', 'ijazah', 'dedi', 'mulyadi']",netral,"[9.587381646269932e-05, 0.9995947480201721, 0.0003093115519732237]"
kang dedi mulyadi gantenngg bangeet pacar guyss jung junwon for marie claire,Mon May 19 04:15:32 +0000 2025,"['kang', 'dedi', 'mulyadi', 'gantenngg', 'bangeet', 'pacar', 'guyss', 'jung', 'junwon', 'for', 'marie', 'claire']",positif,"[0.9995891451835632, 0.00017790649144444615, 0.00023300306929741055]"
kang dedi mulyadi weak hero class perhatiin detail scene pas sieun lari hospital with geng eunjang lari latar pohon ubah pohon tandus pohon daun udah lebat pohon udah bunga cryinggg,Fri May 16 13:53:25 +0000 2025,"['kang', 'dedi', 'mulyadi', 'weak', 'hero', 'class', 'perhatiin', 'detail', 'scene', 'pas', 'sieun', 'lari', 'hospital', 'with', 'geng', 'eunjang', 'lari', 'latar', 'pohon', 'ubah', 'pohon', 'tandus', 'pohon', 'daun', 'udah', 'lebat', 'pohon', 'udah', 'bunga', 'cryinggg']",positif,"[0.9783567786216736, 0.02087552100419998, 0.0007677529356442392]"
kang dedi mulyadi tastefully yours foto beomwoo salkir kemarin guys,Thu May 15 10:33:48 +0000 2025,"['kang', 'dedi', 'mulyadi', 'tastefully', 'yours', 'foto', 'beomwoo', 'salkir', 'kemarin', 'guys']",positif,"[0.998927891254425, 0.0007198541425168514, 0.0003522495389916003]"
halo kang dedi,Fri May 16 14:19:26 +0000 2025,"['halo', 'kang', 'dedi']",positif,"[0.9798935651779175, 0.01949731819331646, 0.0006092207622714341]"
kang dedi mulyadi foto han yeji kim sabi resident playbook pas sekolah doi lahir emang uda cantik cr on photo,Wed May 14 11:08:08 +0000 2025,"['kang', 'dedi', 'mulyadi', 'foto', 'han', 'yeji', 'kim', 'sabi', 'resident', 'playbook', 'pas', 'sekolah', 'doi', 'lahir', 'emang', 'uda', 'cantik', 'cr', 'on', 'photo']",netral,"[0.3625999987125397, 0.6361029148101807, 0.0012970627285540104]"
kang dedi mulyadi go younjung bilang syuting can this love be translated syuting resplay selesai syuting negeri amp keliling negara jadwal padat cepat kim seonho syuting seru tunjukin sisi drama,Mon May 19 01:43:41 +0000 2025,"['kang', 'dedi', 'mulyadi', 'go', 'younjung', 'bilang', 'syuting', 'can', 'this', 'love', 'be', 'translated', 'syuting', 'resplay', 'selesai', 'syuting', 'negeri', 'amp', 'keliling', 'negara', 'jadwal', 'padat', 'cepat', 'kim', 'seonho', 'syuting', 'seru', 'tunjukin', 'sisi', 'drama']",netral,"[0.48405641317367554, 0.5146470069885254, 0.0012965193018317223]"
popularitas dedi mulyadi publik muncul mantan presiden joko widodo kancah politik nasional dedi mulyadi dedi mulyadi mah netizen bikin hahaha masak koreksi netizen,Tue May 20 12:29:13 +0000 2025,"['popularitas', 'dedi', 'mulyadi', 'publik', 'muncul', 'mantan', 'presiden', 'joko', 'widodo', 'kancah', 'politik', 'nasional', 'dedi', 'mulyadi', 'dedi', 'mulyadi', 'mah', 'netizen', 'bikin', 'hahaha', 'masak', 'koreksi', 'netizen']",netral,"[0.00026892707683146, 0.9991182684898376, 0.0006127565284259617]"
resident playbook kang dedi mulyadi apresiasi uri princess pyo namkyung aka jongno yulje it girl best girl banget usaha karakter turun rasa shin siah bawa karakter namkyung manusiawi,Mon May 19 12:48:23 +0000 2025,"['resident', 'playbook', 'kang', 'dedi', 'mulyadi', 'apresiasi', 'uri', 'princess', 'pyo', 'namkyung', 'aka', 'jongno', 'yulje', 'it', 'girl', 'best', 'girl', 'banget', 'usaha', 'karakter', 'turun', 'rasa', 'shin', 'siah', 'bawa', 'karakter', 'namkyung', 'manusiawi']",positif,"[0.9973467588424683, 0.0010813806438818574, 0.0015718284994363785]"
detik detik jual pangsit mennggal peluk kang dedi mulyadi udah ketemu orang tolong keluarga,Wed May 21 15:17:13 +0000 2025,"['detik', 'detik', 'jual', 'pangsit', 'mennggal', 'peluk', 'kang', 'dedi', 'mulyadi', 'udah', 'ketemu', 'orang', 'tolong', 'keluarga']",netral,"[8.143039303831756e-05, 0.9994279742240906, 0.0004905858659185469]"
kang dedi mulyadi lapak ngegombalin cokiber silah,Tue May 20 16:10:28 +0000 2025,"['kang', 'dedi', 'mulyadi', 'lapak', 'ngegombalin', 'cokiber', 'silah']",netral,"[0.00014577832189388573, 0.9869802594184875, 0.012873901054263115]"
bandung gubernur jawa barat dedi mulyadi mantik kontroversi publik luncur program didik karakter latih barak militer anak kategori nakal program dukung anggar rp miliar apbd,Sun May 18 03:41:25 +0000 2025,"['bandung', 'gubernur', 'jawa', 'barat', 'dedi', 'mulyadi', 'mantik', 'kontroversi', 'publik', 'luncur', 'program', 'didik', 'karakter', 'latih', 'barak', 'militer', 'anak', 'kategori', 'nakal', 'program', 'dukung', 'anggar', 'rp', 'miliar', 'apbd']",netral,"[0.00010824261698871851, 0.9996582269668579, 0.00023359456099569798]"
membandingbandingkan mas pram kang dedi mulyadi turut mas pram tipikal gaya pake citra pake drama nangisnangis marahmarah tahutahu janji kampanye wujud,Thu May 22 01:14:59 +0000 2025,"['membandingbandingkan', 'mas', 'pram', 'kang', 'dedi', 'mulyadi', 'turut', 'mas', 'pram', 'tipikal', 'gaya', 'pake', 'citra', 'pake', 'drama', 'nangisnangis', 'marahmarah', 'tahutahu', 'janji', 'kampanye', 'wujud']",positif,"[0.9961712956428528, 0.00305139715783298, 0.0007774094119668007]"
kang dedi mulyadi nyuruh vasektomi solusi nyata sdm rendah cok visioner,Mon May 12 15:07:03 +0000 2025,"['kang', 'dedi', 'mulyadi', 'nyuruh', 'vasektomi', 'solusi', 'nyata', 'sdm', 'rendah', 'cok', 'visioner']",netral,"[0.00016839482123032212, 0.999620795249939, 0.00021077135170344263]"
orang nyamain kang dedi mulyadi jokowi banyak dukung anies twitter paham manuver politik indonesia banyak kaget tipu tipu jokowi tipu justice for audrey tipu bjorka tipu sverre,Sat May 03 06:31:01 +0000 2025,"['orang', 'nyamain', 'kang', 'dedi', 'mulyadi', 'jokowi', 'banyak', 'dukung', 'anies', 'twitter', 'paham', 'manuver', 'politik', 'indonesia', 'banyak', 'kaget', 'tipu', 'tipu', 'jokowi', 'tipu', 'justice', 'for', 'audrey', 'tipu', 'bjorka', 'tipu', 'sverre']",negatif,"[8.870736201060936e-05, 0.0006594932056032121, 0.9992517828941345]"
kang dedi mulyadi kerja hasil tara periode,Mon May 19 11:12:03 +0000 2025,"['kang', 'dedi', 'mulyadi', 'kerja', 'hasil', 'tara', 'periode']",positif,"[0.9932610392570496, 0.006432587746530771, 0.0003062708128709346]"
kang dedi mulyadi jatuh cinta filmfilm,Mon May 12 12:44:18 +0000 2025,"['kang', 'dedi', 'mulyadi', 'jatuh', 'cinta', 'filmfilm']",positif,"[0.9997408986091614, 0.0001445747766410932, 0.00011447107681306079]"
mas agus mulyadi visioner ya dipake mulu rumus,Thu Feb 01 06:31:12 +0000 2024,"['mas', 'agus', 'mulyadi', 'visioner', 'ya', 'dipake', 'mulu', 'rumus']",netral,"[0.0019040970364585519, 0.996253252029419, 0.0018425825983285904]"
wts part buku koleksi pribadi mostly kuning pinggir layak baca,Wed May 21 07:56:57 +0000 2025,"['wts', 'part', 'buku', 'koleksi', 'pribadi', 'mostly', 'kuning', 'pinggir', 'layak', 'baca']",positif,"[0.6932047009468079, 0.30122342705726624, 0.005571814253926277]"
kang dedi mulyadi kim seonho ganteng bangeettt,Thu May 15 09:48:39 +0000 2025,"['kang', 'dedi', 'mulyadi', 'kim', 'seonho', 'ganteng', 'bangeettt']",positif,"[0.9992637038230896, 0.0005277264281176031, 0.0002085446467390284]"
tastefully yours yeorobun samping go minsi mo yeonju yoo yeonseok kang dedi mulyadi,Wed May 21 04:28:08 +0000 2025,"['tastefully', 'yours', 'yeorobun', 'samping', 'go', 'minsi', 'mo', 'yeonju', 'yoo', 'yeonseok', 'kang', 'dedi', 'mulyadi']",positif,"[0.9457934498786926, 0.05241011828184128, 0.0017963493010029197]"
dedi mulyadi tuh jabat sih lingkung kelar anak nakal sadar eh hukum khatam,Sat May 17 05:45:07 +0000 2025,"['dedi', 'mulyadi', 'tuh', 'jabat', 'sih', 'lingkung', 'kelar', 'anak', 'nakal', 'sadar', 'eh', 'hukum', 'khatam']",negatif,"[3.294996713520959e-05, 0.000228197401156649, 0.999738872051239]"
kang dedi mulyadi park jinyoung villain era,Fri May 16 10:01:50 +0000 2025,"['kang', 'dedi', 'mulyadi', 'park', 'jinyoung', 'villain', 'era']",netral,"[0.00010027091775555164, 0.9996405839920044, 0.00025915622245520353]"
kang dedi mulyadi suami greenflag tale of lady ok murid turut trauma code choo youngwoo mode villain series ori netflix mercy for none tayang juni lihat oasis tau gimana ngeselinnya pas villain,Thu May 15 01:45:34 +0000 2025,"['kang', 'dedi', 'mulyadi', 'suami', 'greenflag', 'tale', 'of', 'lady', 'ok', 'murid', 'turut', 'trauma', 'code', 'choo', 'youngwoo', 'mode', 'villain', 'series', 'ori', 'netflix', 'mercy', 'for', 'none', 'tayang', 'juni', 'lihat', 'oasis', 'tau', 'gimana', 'ngeselinnya', 'pas', 'villain']",netral,"[0.005153099074959755, 0.9942672848701477, 0.0005796238547191024]"
kang dedi mandi nih kang bawa barak kang mandi kang,Mon May 19 12:02:20 +0000 2025,"['kang', 'dedi', 'mandi', 'nih', 'kang', 'bawa', 'barak', 'kang', 'mandi', 'kang']",positif,"[0.9823707342147827, 0.013312063179910183, 0.004317231941968203]"
kang dedi mulyadi tahun chaos berisik lovely runner episode ahaha capek banget nontonnya pause resume ketawa nih scene komedi jago,Tue May 13 12:59:19 +0000 2025,"['kang', 'dedi', 'mulyadi', 'tahun', 'chaos', 'berisik', 'lovely', 'runner', 'episode', 'ahaha', 'capek', 'banget', 'nontonnya', 'pause', 'resume', 'ketawa', 'nih', 'scene', 'komedi', 'jago']",positif,"[0.8591820001602173, 0.008083052933216095, 0.13273490965366364]"
kang dedi mulyadi tastefully yours ep park jihoon cameo muncul male lead drama lovely jogger parodi lovely runner cerita doi ryu eunjae status appa muda anak nyium cewek bjiir expect bnget woy cameonya luar nalar hahaha,Tue May 13 15:23:24 +0000 2025,"['kang', 'dedi', 'mulyadi', 'tastefully', 'yours', 'ep', 'park', 'jihoon', 'cameo', 'muncul', 'male', 'lead', 'drama', 'lovely', 'jogger', 'parodi', 'lovely', 'runner', 'cerita', 'doi', 'ryu', 'eunjae', 'status', 'appa', 'muda', 'anak', 'nyium', 'cewek', 'bjiir', 'expect', 'bnget', 'woy', 'cameonya', 'luar', 'nalar', 'hahaha']",positif,"[0.9124745726585388, 0.08250288665294647, 0.005022468976676464]"
spill kang dedi mulyadi adaptasi webtoon andal rekomen guys ill go first see you in my life,Mon May 12 14:00:04 +0000 2025,"['spill', 'kang', 'dedi', 'mulyadi', 'adaptasi', 'webtoon', 'andal', 'rekomen', 'guys', 'ill', 'go', 'first', 'see', 'you', 'in', 'my', 'life']",netral,"[0.0003716942446772009, 0.9994351267814636, 0.00019316050747875124]"
kang dedi mulyadi haha hihi salting salting drakornya,Sat May 17 03:37:17 +0000 2025,"['kang', 'dedi', 'mulyadi', 'haha', 'hihi', 'salting', 'salting', 'drakornya']",netral,"[0.014585818164050579, 0.9845221042633057, 0.0008920370601117611]"
kang dedi mulyadi pesona cewek tahi lalat hidung,Wed May 21 05:34:23 +0000 2025,"['kang', 'dedi', 'mulyadi', 'pesona', 'cewek', 'tahi', 'lalat', 'hidung']",positif,"[0.9153798818588257, 0.08216727524995804, 0.00245286850258708]"
kang dedi mulyadi sender ken banget go younjung ambil project film film debut bagus banget,Thu May 22 02:57:26 +0000 2025,"['kang', 'dedi', 'mulyadi', 'sender', 'ken', 'banget', 'go', 'younjung', 'ambil', 'project', 'film', 'film', 'debut', 'bagus', 'banget']",positif,"[0.9964480400085449, 0.0031533322762697935, 0.0003986205847468227]"
